SIC_Code,Description,Portfolio_Weight,Benchmark_Weight,Portfolio_Return,Benchmark_Return,Allocation,Selection,Interaction,Total
3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",0.0,0.006012296,0.0,0.01892294334612851,-0.00011377033658815506,-0.00011377033658815506,0.00011377033658815506,-0.00011377033658815506
3312,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",0.0,0.000872199,0.0,0.2956123765009809,-0.000257832819171779,-0.000257832819171779,0.000257832819171779,-0.000257832819171779
3825,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,0.0,0.000918005,0.0,0.1009318904244851,-9.265598006912944e-05,-9.265598006912944e-05,9.265598006912944e-05,-9.265598006912944e-05
3826,LABORATORY ANALYTICAL INSTRUMENTS,0.0,0.002026164,0.0,-0.08844358222465701,0.00017920120233463994,0.00017920120233463994,-0.00017920120233463994,0.00017920120233463994
3827,OPTICAL INSTRUMENTS & LENSES,0.0,0.001721956,0.0,0.5437524897092032,-0.0009363178621697006,-0.0009363178621697006,0.0009363178621697006,-0.0009363178621697006
2800,CHEMICALS & ALLIED PRODUCTS,0.0,0.000122757,0.0,-0.4952769772654495,6.079871589817479e-05,6.079871589817479e-05,-6.079871589817479e-05,6.079871589817479e-05
3829,"MEASURING & CONTROLLING DEVICES, NEC",0.0,0.005005773000000001,0.0,-0.004869192008918936,2.4374069890062173e-05,2.4374069890062173e-05,-2.4374069890062173e-05,2.4374069890062173e-05
2810,INDUSTRIAL INORGANIC CHEMICALS,0.0,0.005276111,0.0,0.19477894255731448,-0.001027675321395015,-0.001027675321395015,0.001027675321395015,-0.001027675321395015
2300,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,0.0,0.000863824,0.0,0.581081081081082,-0.0005019517837837847,-0.0005019517837837847,0.0005019517837837847,-0.0005019517837837847
6399,"INSURANCE CARRIERS, NEC",0.0,0.000221045,0.0,0.3233584668551661,-7.14767723060002e-05,-7.14767723060002e-05,7.14767723060002e-05,-7.14767723060002e-05
3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,0.008581273,0.010690502,-0.2425548589341714,0.09469806781668014,-0.00019973991088290832,-0.0036054030879358314,0.0007113436534377714,-0.003093799345380968
3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",0.0,0.005754955,0.0,0.2044176028133803,-0.001176414105398877,-0.001176414105398877,0.001176414105398877,-0.001176414105398877
2820,"PLASTIC MATERIAL, SYNTH RESIN/RUBBER, CELLULOS (NO GLASS)",0.005579069,0.000150751,0.5192138457025535,0.5192138457025535,0.0028184578644763936,0.0,0.0,0.0028184578644763936
3845,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,0.0,0.002072689,0.0,0.05264502938921645,-0.00010911677331970565,-0.00010911677331970565,0.00010911677331970565,-0.00010911677331970565
3844,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,0.0,0.001058142,0.0,0.17260206147651702,-0.00018263749053488466,-0.00018263749053488466,0.00018263749053488466,-0.00018263749053488466
2821,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",0.0,0.001605211,0.0,0.04340712607259012,-6.967759625010845e-05,-6.967759625010845e-05,6.967759625010845e-05,-6.967759625010845e-05
6411,"INSURANCE AGENTS, BROKERS & SERVICE",0.022500178,0.006181162999999999,-0.016232971694264076,0.11092105812918082,0.0018101224114259737,-0.0007859597844455741,-0.0020750285199992446,-0.0010508658930188449
3851,OPHTHALMIC GOODS,0.0,0.000364088,0.0,0.1375495972105334,-5.008015774918868e-05,-5.008015774918868e-05,5.008015774918868e-05,-5.008015774918868e-05
2320,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",0.0,0.0014424169999999999,0.0,0.3395756403191961,-0.0004898096763822938,-0.0004898096763822938,0.0004898096763822938,-0.0004898096763822938
2834,PHARMACEUTICAL PREPARATIONS,0.008765729,0.04554256500000001,-0.019075040489473394,0.1293022956449605,-0.004755329321358228,-0.006757484475429306,0.00545684895713295,-0.006055964839654585
2835,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,0.0,0.00067894,0.0,0.367084554567622,-0.00024922838747814125,-0.00024922838747814125,0.00024922838747814125,-0.00024922838747814125
2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",0.0,0.00606633,0.0,3.745742168680772e-05,-2.272290809013323e-07,-2.272290809013323e-07,2.272290809013323e-07,-2.272290809013323e-07
3350,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,0.0,0.000912165,0.0,0.3855606758832575,-0.0003516949539170516,-0.0003516949539170516,0.0003516949539170516,-0.0003516949539170516
5912,RETAIL-DRUG STORES AND PROPRIETARY STORES,0.007600415,0.001251928,-0.15014530190507036,-0.16582443625744536,-0.0010527342778627205,1.962914731150013e-05,9.953878060730611e-05,-0.0009335663499439142
2840,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",0.0,0.009558453,0.0,0.02362799719771779,-0.0002258471006985172,-0.0002258471006985172,0.0002258471006985172,-0.0002258471006985172
